=== Memory Watchdog ===
Monitoring PID 7942, threshold: 53477376 KB (~51.2 GB)
Started at Fri Feb 20 22:52:00 PST 2026

22:52:00  RSS: 550 MB  Peak: 550 MB
22:52:02  RSS: 578 MB  Peak: 578 MB
22:52:04  RSS: 583 MB  Peak: 583 MB
22:52:06  RSS: 587 MB  Peak: 587 MB
22:52:08  RSS: 588 MB  Peak: 588 MB
22:52:11  RSS: 589 MB  Peak: 589 MB
22:52:13  RSS: 589 MB  Peak: 589 MB
22:52:15  RSS: 590 MB  Peak: 590 MB
22:52:17  RSS: 590 MB  Peak: 590 MB
22:52:19  RSS: 596 MB  Peak: 596 MB
22:52:21  RSS: 606 MB  Peak: 606 MB
22:52:23  RSS: 606 MB  Peak: 606 MB
22:52:25  RSS: 606 MB  Peak: 606 MB
22:52:27  RSS: 612 MB  Peak: 612 MB
22:52:29  RSS: 612 MB  Peak: 612 MB
22:52:31  RSS: 609 MB  Peak: 612 MB
22:52:33  RSS: 609 MB  Peak: 612 MB
22:52:35  RSS: 609 MB  Peak: 612 MB
22:52:37  RSS: 609 MB  Peak: 612 MB
22:52:39  RSS: 609 MB  Peak: 612 MB
22:52:41  RSS: 606 MB  Peak: 612 MB
22:52:43  RSS: 606 MB  Peak: 612 MB
22:52:45  RSS: 606 MB  Peak: 612 MB
22:52:47  RSS: 606 MB  Peak: 612 MB
22:52:49  RSS: 606 MB  Peak: 612 MB
22:52:51  RSS: 606 MB  Peak: 612 MB
22:52:53  RSS: 606 MB  Peak: 612 MB
22:52:55  RSS: 606 MB  Peak: 612 MB
22:52:57  RSS: 606 MB  Peak: 612 MB
22:52:59  RSS: 607 MB  Peak: 612 MB
22:53:01  RSS: 607 MB  Peak: 612 MB
22:53:03  RSS: 607 MB  Peak: 612 MB
22:53:05  RSS: 607 MB  Peak: 612 MB
22:53:07  RSS: 607 MB  Peak: 612 MB
22:53:09  RSS: 607 MB  Peak: 612 MB
22:53:11  RSS: 609 MB  Peak: 612 MB
22:53:13  RSS: 609 MB  Peak: 612 MB
22:53:15  RSS: 609 MB  Peak: 612 MB
22:53:17  RSS: 610 MB  Peak: 612 MB
22:53:19  RSS: 610 MB  Peak: 612 MB
22:53:21  RSS: 610 MB  Peak: 612 MB
22:53:23  RSS: 610 MB  Peak: 612 MB
22:53:25  RSS: 610 MB  Peak: 612 MB
22:53:27  RSS: 610 MB  Peak: 612 MB
22:53:29  RSS: 610 MB  Peak: 612 MB
